Tree,Model,Node,LogLikelihood,AICc,State,Probability
6,ARD,PNUA,-13.3291491080048,44.2582982160096,H,1.58908074135227e-14
6,ARD,PSUA,-13.3291491080048,44.2582982160096,A,0.964432058927619
6,ARD,PSUA,-13.3291491080048,44.2582982160096,G,0.035567941072337
6,ARD,PSUA,-13.3291491080048,44.2582982160096,H,4.37573621869833e-14
7,ER,PUA,-15.2386703665554,32.6773407331108,A,0.467282229677851
7,ER,PUA,-15.2386703665554,32.6773407331108,G,0.514489917471062
7,ER,PUA,-15.2386703665554,32.6773407331108,H,0.0182278528510865
7,ER,PNUA,-15.2386703665554,32.6773407331108,A,0.187624456559023
7,ER,PNUA,-15.2386703665554,32.6773407331108,G,0.807405390606093
7,ER,PNUA,-15.2386703665554,32.6773407331108,H,0.00497015283488432
7,ER,PSUA,-15.2386703665554,32.6773407331108,A,0.985916471038311
7,ER,PSUA,-15.2386703665554,32.6773407331108,G,0.013007547999943
7,ER,PSUA,-15.2386703665554,32.6773407331108,H,0.00107598096174576
7,SYM,PUA,-14.3342748416478,36.0018830166289,A,0.0461767272969259
7,SYM,PUA,-14.3342748416478,36.0018830166289,G,0.953129867180585
7,SYM,PUA,-14.3342748416478,36.0018830166289,H,0.000693405522489048
7,SYM,PNUA,-14.3342748416478,36.0018830166289,A,0.0218455292862222
7,SYM,PNUA,-14.3342748416478,36.0018830166289,G,0.977685821400201
7,SYM,PNUA,-14.3342748416478,36.0018830166289,H,0.000468649313577172
7,SYM,PSUA,-14.3342748416478,36.0018830166289,A,0.984829155629125
7,SYM,PSUA,-14.3342748416478,36.0018830166289,G,0.015170089740082
7,SYM,PSUA,-14.3342748416478,36.0018830166289,H,7.54630793074493e-07
7,ARD,PUA,-13.071393806319,43.742787612638,A,2.50484521237678e-07
7,ARD,PUA,-13.071393806319,43.742787612638,G,0.999999749515305
7,ARD,PUA,-13.071393806319,43.742787612638,H,1.73459558661912e-13
7,ARD,PNUA,-13.071393806319,43.742787612638,A,2.06873844580056e-12
7,ARD,PNUA,-13.071393806319,43.742787612638,G,0.999999999997907
7,ARD,PNUA,-13.071393806319,43.742787612638,H,2.43080760730275e-14
7,ARD,PSUA,-13.071393806319,43.742787612638,A,0.967388669237478
7,ARD,PSUA,-13.071393806319,43.742787612638,G,0.0326113307624518
7,ARD,PSUA,-13.071393806319,43.742787612638,H,7.05961246088486e-14
8,ER,PUA,-14.3831322791819,30.9662645583637,A,0.379532214895859
8,ER,PUA,-14.3831322791819,30.9662645583637,G,0.579005677367767
8,ER,PUA,-14.3831322791819,30.9662645583637,H,0.0414621077363744
8,ER,PNUA,-14.3831322791819,30.9662645583637,A,0.0385848774403549
8,ER,PNUA,-14.3831322791819,30.9662645583637,G,0.958110320129894
8,ER,PNUA,-14.3831322791819,30.9662645583637,H,0.00330480242975125
8,ER,PSUA,-14.3831322791819,30.9662645583637,A,0.991867207894111
8,ER,PSUA,-14.3831322791819,30.9662645583637,G,0.00710275797215777
8,ER,PSUA,-14.3831322791819,30.9662645583637,H,0.00103003413373155
8,SYM,PUA,-13.6807848151294,34.6949029635921,A,0.141046540988182
8,SYM,PUA,-13.6807848151294,34.6949029635921,G,0.854901716386458
8,SYM,PUA,-13.6807848151294,34.6949029635921,H,0.00405174262536074
8,SYM,PNUA,-13.6807848151294,34.6949029635921,A,0.0182916592124447
8,SYM,PNUA,-13.6807848151294,34.6949029635921,G,0.981049484403912
8,SYM,PNUA,-13.6807848151294,34.6949029635921,H,0.00065885638364292
8,SYM,PSUA,-13.6807848151294,34.6949029635921,A,0.991974560545267
8,SYM,PSUA,-13.6807848151294,34.6949029635921,G,0.00802488534739158
8,SYM,PSUA,-13.6807848151294,34.6949029635921,H,5.54107341097191e-07
8,ARD,PUA,-12.8031722634818,43.2063445269636,A,1.76419230089818e-06
8,ARD,PUA,-12.8031722634818,43.2063445269636,G,0.972595835425916
8,ARD,PUA,-12.8031722634818,43.2063445269636,H,0.0274024003817827
8,ARD,PNUA,-12.8031722634818,43.2063445269636,A,1.14162611929974e-12
8,ARD,PNUA,-12.8031722634818,43.2063445269636,G,0.989474397518496
8,ARD,PNUA,-12.8031722634818,43.2063445269636,H,0.0105256024803624
8,ARD,PSUA,-12.8031722634818,43.2063445269636,A,0.982965253536608
8,ARD,PSUA,-12.8031722634818,43.2063445269636,G,0.0170170154264527
8,ARD,PSUA,-12.8031722634818,43.2063445269636,H,1.77310369390732e-05
9,ER,PUA,-15.6913955305546,33.5827910611092,A,0.157607803279301
9,ER,PUA,-15.6913955305546,33.5827910611092,G,0.832449194510721
9,ER,PUA,-15.6913955305546,33.5827910611092,H,0.00994300220997756
